id,indvdID
298,MLBS02087
319,MLBS02085
299,MLBS02078
314,MLBS02077
313,MLBS02076
311,MLBS02150
306,MLBS02147
316,MLBS02110A
320,MLBS02146
304,MLBS02149
312,MLBS02135
307,MLBS02144A
321,MLBS02128
315,MLBS02114
309,MLBS02113
308,MLBS02112
301,MLBS02108
699,MLBS02100
302,MLBS02107
351,MLBS02199
350,MLBS02191
294,MLBS02183
295,MLBS02181
352,MLBS02187
353,MLBS02178
287,MLBS02174
289,MLBS02169
293,MLBS02167
286,MLBS02166
292,MLBS02162
285,MLBS02158
291,MLBS02156
290,MLBS02159
284,MLBS02154
282,MLBS02153
283,MLBS02151
679,MLBS01898
239,MLBS01932
233,MLBS01939
680,MLBS01924
678,MLBS01923
232,MLBS01928
234,MLBS01927
231,MLBS01926
681,MLBS01919
235,MLBS01913
682,MLBS01912
236,MLBS01908
229,MLBS01907
238,MLBS01902
230,MLBS01905
260,MLBS02209
259,MLBS02208
264,MLBS02201
265,MLBS02200
263,MLBS02206
266,MLBS02205
267,MLBS02203
261,MLBS02213
262,MLBS02210
11,MLBS00197
29,MLBS00192
32,MLBS00194
14,MLBS00168A
15,MLBS00193
27,MLBS00187
647,MLBS00186
7,MLBS00181
8,MLBS00183
6,MLBS00178A
5,MLBS00177
648,MLBS00175
28,MLBS00173
3,MLBS00172
4,MLBS00171
12,MLBS00162
645,MLBS00155
10,MLBS00154
31,MLBS00198B
646,MLBS00133
9,MLBS00135
1,MLBS00170A
24,MLBS00138A
34,MLBS00100A
40,MLBS00147A
21,MLBS00144
23,MLBS00143
39,MLBS00146
26,MLBS00139
25,MLBS00137
20,MLBS00136
16,MLBS00128
18,MLBS00117
36,MLBS00114
33,MLBS00113
37,MLBS00107
35,MLBS00103
626,MLBS00560
617,MLBS00559
616,MLBS00558
620,MLBS00556
629,MLBS00544
623,MLBS00538
622,MLBS00534
615,MLBS00532
625,MLBS00521
627,MLBS00520
637,MLBS00595
639,MLBS00597
631,MLBS00584
635,MLBS00589
633,MLBS00579
644,MLBS00578
641,MLBS00568
643,MLBS00562
605,MLBS00091
598,MLBS00096
609,MLBS00095
608,MLBS00094
601,MLBS00088
600,MLBS00087
676,MLBS00082
597,MLBS00081
602,MLBS00086
595,MLBS00083
599,MLBS00079
596,MLBS00078
606,MLBS00077
604,MLBS00070
607,MLBS00075
610,MLBS00074
614,MLBS00073
613,MLBS00072
603,MLBS00067
611,MLBS00060
594,MLBS00061
378,MLBS00251A
382,MLBS00277
380,MLBS00274
385,MLBS00265
379,MLBS00255
383,MLBS00252
384,MLBS00256
377,MLBS00233
373,MLBS00229
652,MLBS00227
374,MLBS00217
372,MLBS00216
709,MLBS00215
376,MLBS00204
375,MLBS00201
381,MLBS00202C
671,MLBS00497
345,MLBS00496
342,MLBS00498
343,MLBS00491
347,MLBS00484
344,MLBS00483
346,MLBS00488
672,MLBS00482
673,MLBS00480
349,MLBS00479
337,MLBS00514
339,MLBS00513
338,MLBS00511
670,MLBS00505
340,MLBS00503
341,MLBS00508
581,MLBS00474
580,MLBS00473
588,MLBS00476
590,MLBS00471
582,MLBS00469
675,MLBS00464
591,MLBS00462
589,MLBS00461
674,MLBS00467
584,MLBS00460
585,MLBS00457
587,MLBS00456
586,MLBS00454
560,MLBS01069
562,MLBS01130
561,MLBS01128
668,MLBS01100
667,MLBS01103
577,MLBS01088A
573,MLBS01099
578,MLBS01098
575,MLBS01096
559,MLBS01082
572,MLBS01080
565,MLBS01075
564,MLBS01074
569,MLBS01121
563,MLBS01119
568,MLBS01113
570,MLBS01110
579,MLBS01117
566,MLBS01116
567,MLBS01115
115,MLBS00397
126,MLBS00449
127,MLBS00441
125,MLBS00446
124,MLBS00444
122,MLBS00437
141,MLBS00433
144,MLBS00432
142,MLBS00427
143,MLBS00426
140,MLBS00425
128,MLBS00429
131,MLBS00420
139,MLBS00424
123,MLBS00423
121,MLBS00422
133,MLBS00417
130,MLBS00415
132,MLBS00419
135,MLBS00412
137,MLBS00410
129,MLBS00404
138,MLBS00409
136,MLBS00408
429,MLBS00791
428,MLBS00798
657,MLBS00797
422,MLBS00788
430,MLBS00781
425,MLBS00780
431,MLBS00772
432,MLBS00773
423,MLBS00766
424,MLBS00764
421,MLBS00854
420,MLBS00853
409,MLBS00820
418,MLBS00819
419,MLBS00859
417,MLBS00847
416,MLBS00842
427,MLBS00840
411,MLBS00834
412,MLBS00833
415,MLBS00838
414,MLBS00827
413,MLBS00826
552,MLBS01223
548,MLBS01222
551,MLBS01219
550,MLBS01219A
556,MLBS01210
558,MLBS01213
555,MLBS01208
664,MLBS01206
554,MLBS01202B
553,MLBS01199
547,MLBS01192
541,MLBS01191
549,MLBS01187A
538,MLBS01170
546,MLBS01175
539,MLBS01172
537,MLBS01167
535,MLBS01165
536,MLBS01160
543,MLBS01154
534,MLBS01150
544,MLBS01147
557,MLBS01141
540,MLBS01133
545,MLBS01139
542,MLBS01156A
520,MLBS00653C
529,MLBS00671
530,MLBS00670
662,MLBS00675
528,MLBS00667
663,MLBS00662
527,MLBS00661
523,MLBS00658
525,MLBS00657
526,MLBS00656
522,MLBS00651
521,MLBS00654
524,MLBS00652
518,MLBS00641
517,MLBS00637
519,MLBS00634A
116,MLBS00401B
119,MLBS00398
109,MLBS00395
118,MLBS00399
114,MLBS00392
113,MLBS00386
112,MLBS00388
106,MLBS00381
107,MLBS00363
108,MLBS00359
110,MLBS00345
111,MLBS00344
134,MLBS00403
120,MLBS00400
532,MLBS00647
515,MLBS00646
533,MLBS00645
516,MLBS00621
514,MLBS00613
513,MLBS00604
531,MLBS00644A
490,MLBS01287
507,MLBS01281
508,MLBS01282
510,MLBS01277
509,MLBS01274
506,MLBS01273
487,MLBS01271
489,MLBS01267
505,MLBS01269
488,MLBS01268
491,MLBS01226
493,MLBS01264
494,MLBS01263
501,MLBS01256
499,MLBS01258
503,MLBS01252
500,MLBS01251
502,MLBS01250
511,MLBS01243
497,MLBS01242
498,MLBS01247
512,MLBS01238
492,MLBS01236
495,MLBS01228
496,MLBS01260A
474,MLBS01398
470,MLBS01395
469,MLBS01393
467,MLBS01383
463,MLBS01382
465,MLBS01377
464,MLBS01375
462,MLBS01374
466,MLBS01378
486,MLBS01372
485,MLBS01370
477,MLBS01352
476,MLBS01350
468,MLBS01389A
475,MLBS01399B
661,MLBS01397A
484,MLBS01402
458,MLBS01366
459,MLBS01364
460,MLBS01363
457,MLBS01367
480,MLBS01362
481,MLBS01361
479,MLBS01353
482,MLBS01358
483,MLBS01356
473,MLBS01344
472,MLBS01345
461,MLBS01335
478,MLBS01351A
445,MLBS01290
437,MLBS01329
433,MLBS01326
435,MLBS01324
440,MLBS01323
441,MLBS01318
434,MLBS01316
439,MLBS01315
442,MLBS01313
443,MLBS01312
454,MLBS01308
452,MLBS01317A
659,MLBS01298
448,MLBS01297
449,MLBS01292
447,MLBS01291
444,MLBS01294
456,MLBS01311A
446,MLBS01300
455,MLBS01304
451,MLBS01303
658,MLBS01301
450,MLBS01306A
655,MLBS00718A
393,MLBS00729C
406,MLBS00692
405,MLBS00696
407,MLBS00687
653,MLBS00732
387,MLBS00731
395,MLBS00725
394,MLBS00726
399,MLBS00712
656,MLBS00718
398,MLBS00716
401,MLBS00708
408,MLBS00703
400,MLBS01330
388,MLBS00733A
392,MLBS00733B
386,MLBS00757
396,MLBS00754
397,MLBS00752
404,MLBS00747
391,MLBS00744
403,MLBS00749
390,MLBS00743
654,MLBS00736
389,MLBS00738
74,MLBS01495
78,MLBS01493
65,MLBS01538
72,MLBS01536
67,MLBS01531
71,MLBS01528
75,MLBS01525
683,MLBS01523
68,MLBS01516
73,MLBS01515
69,MLBS01518
79,MLBS01511
80,MLBS01506
76,MLBS01509
66,MLBS01534A
70,MLBS02171
87,MLBS01563
88,MLBS01566
92,MLBS01553
93,MLBS01557
684,MLBS01555
85,MLBS01549
83,MLBS01548
89,MLBS01541
84,MLBS01546
86,MLBS01545
90,MLBS01544
91,MLBS01556A
1308,OSBS00120
1304,OSBS00123
1305,OSBS00122
1306,OSBS00121
1310,OSBS00116
1311,OSBS00115
1309,OSBS00114
1312,OSBS00119
1313,OSBS00111
1138,OSBS02189
1140,OSBS01611
1141,OSBS02230
1142,OSBS02229
1144,OSBS02221
1139,OSBS02220
1143,OSBS02223
1024,OSBS01593
1022,OSBS01589
1020,OSBS01587
1026,OSBS01571
1019,OSBS01570
1017,OSBS01574
1025,OSBS01568
1016,OSBS01566
1014,OSBS01558
1023,OSBS01556
1031,OSBS01921
1030,OSBS01925
1028,OSBS01915
1027,OSBS01910
1015,OSBS01912
1018,OSBS01911
1021,OSBS01906
1029,OSBS01909
1130,OSBS02726
1137,OSBS02718
1131,OSBS02713
1136,OSBS02712
1135,OSBS02711
1134,OSBS02710
1128,OSBS02714
1133,OSBS02709
1132,OSBS02708
1413,OSBS02723
1416,OSBS02722
1412,OSBS02702
1414,OSBS02701
1415,OSBS02704
1411,OSBS02703
1199,OSBS03254
1202,OSBS03256
1206,OSBS03227
1200,OSBS03222
1203,OSBS03221
1204,OSBS03220
1205,OSBS03225
1201,OSBS03223
1198,OSBS03218
1193,OSBS03217
1195,OSBS03216
1197,OSBS03210
1196,OSBS03215
1194,OSBS00029
1210,OSBS03149
1469,OSBS03146
1209,OSBS03139
1464,OSBS03138
1208,OSBS00022
1213,OSBS03164
1211,OSBS03153
1212,OSBS03152
1188,OSBS02550
1186,OSBS02529
1192,OSBS07797
1191,OSBS07796
1190,OSBS07795
1184,OSBS00585
1185,OSBS00583
1220,OSBS03021
1219,OSBS03020
1225,OSBS03082
1224,OSBS03081
1218,OSBS03078
1217,OSBS03077
1215,OSBS03076
1227,OSBS03071
1230,OSBS03070
1214,OSBS03074
1216,OSBS03073
1222,OSBS03072
1223,OSBS03068
1229,OSBS03067
1228,OSBS03066
1226,OSBS03065
1232,OSBS03069
1233,OSBS03060
1234,OSBS03064
1236,OSBS03063
1235,OSBS03062
1231,OSBS03061
1243,OSBS00086
1244,OSBS00085
1242,OSBS00252
1240,OSBS00251
1241,OSBS00250
1239,OSBS00253
1237,OSBS00249
1085,OSBS03860
1079,OSBS03855
1086,OSBS03858
1083,OSBS03853
1074,OSBS03852
1082,OSBS03851
1076,OSBS03844
1081,OSBS03849
1078,OSBS03848
1077,OSBS03847
1071,OSBS03842
1066,OSBS03835
1068,OSBS03834
1070,OSBS03833
1067,OSBS03839
1072,OSBS03838
1073,OSBS03837
1069,OSBS03836
1075,OSBS07992
1084,OSBS06075
1468,OSBS03145
1462,OSBS03144
1461,OSBS03143
1465,OSBS03142
1458,OSBS03147
1467,OSBS03140
1463,OSBS03131
1470,OSBS03181
1460,OSBS03163
1392,OSBS03025
1396,OSBS03019
1384,OSBS03013
1381,OSBS03012
1382,OSBS03010
1391,OSBS03017
1390,OSBS03016
1385,OSBS03015
1386,OSBS03009
1393,OSBS03008
1379,OSBS03002
1378,OSBS03001
1383,OSBS03005
1380,OSBS03003
1387,OSBS03098
1388,OSBS03095
1389,OSBS03094
1273,OSBS01003
1269,OSBS01002
1268,OSBS00791
1274,OSBS00788
1277,OSBS00786
1276,OSBS00785
1267,OSBS00789
1279,OSBS00784
1280,OSBS00782
1278,OSBS00781
1272,OSBS00774
1275,OSBS00778
1271,OSBS00771
1281,OSBS00953
1283,OSBS00941
1282,OSBS00945
1285,OSBS06162
1288,OSBS06161
1289,OSBS01041
1290,OSBS06151
1286,OSBS01038
1287,OSBS06152
1291,OSBS01037
1292,OSBS01036
1257,OSBS00821
1255,OSBS00820
1249,OSBS00825
1266,OSBS00824
1263,OSBS00823
1264,OSBS00822
1246,OSBS00817
1245,OSBS00816
1248,OSBS00815
1247,OSBS00819
1260,OSBS00810
1253,OSBS00814
1265,OSBS00812
1262,OSBS00811
1259,OSBS00807
1258,OSBS00806
1261,OSBS00805
1254,OSBS00809
1256,OSBS00808
1250,OSBS00803
1252,OSBS00802
1251,OSBS00801
1338,OSBS00697
1343,OSBS00695
1346,OSBS00683
1328,OSBS00678
1327,OSBS00677
1326,OSBS00676
1329,OSBS00674
1333,OSBS00673
1336,OSBS00671
1340,OSBS00666
1345,OSBS00664
1341,OSBS00669
1342,OSBS00662
1344,OSBS00661
1335,OSBS00656
1337,OSBS00655
1339,OSBS00657
1332,OSBS00651
1330,OSBS00643
1334,OSBS07452
1484,OSBS01363
1483,OSBS01365
1482,OSBS01364
1489,OSBS01358
1487,OSBS01352
1491,OSBS01340
1486,OSBS01345
1490,OSBS01343
1488,OSBS01342
1485,OSBS01331
1493,OSBS01508
1492,OSBS01507
1480,OSBS01373
1479,OSBS01371
1481,OSBS01369
1495,OSBS01305
1494,OSBS01308
1496,OSBS01298
1498,OSBS01268
1004,OSBS01023
1012,OSBS01011
1013,OSBS01010
1011,OSBS01015
1009,OSBS01013
1010,OSBS01007
1007,OSBS01006
1002,OSBS01022
1003,OSBS01021
1001,OSBS01025
1000,OSBS01024
1158,OSBS03485
1163,OSBS03482
1167,OSBS03480
1156,OSBS06016
1168,OSBS03592
1170,OSBS03591
1155,OSBS03475
1165,OSBS03479
1162,OSBS03478
1157,OSBS03476
1160,OSBS03582
1166,OSBS03522
1431,OSBS03513
1171,OSBS03517
1164,OSBS03502
1169,OSBS00024
1161,OSBS00023
1154,OSBS03501
1051,OSBS02312
1047,OSBS02310
1045,OSBS02999
1048,OSBS02998
1049,OSBS02997
1043,OSBS02996
1044,OSBS02995
1053,OSBS02306
1046,OSBS02309
1052,OSBS02308
1050,OSBS02307
1038,OSBS02980
1040,OSBS02984
1041,OSBS02982
1039,OSBS02981
1293,OSBS06243
1294,OSBS06242
1296,OSBS01202
1301,OSBS01075
1299,OSBS01057
1297,OSBS00994
1295,OSBS00991
1119,OSBS01554
1121,OSBS01551
1120,OSBS01543
1122,OSBS01536
1124,OSBS01531
1127,OSBS01524
1125,OSBS01519
1126,OSBS01512
1123,OSBS01515
1406,OSBS00193
1407,OSBS00191
1409,OSBS00190
1410,OSBS00188
1404,OSBS01855
1400,OSBS01854
1402,OSBS01853
1405,OSBS00157
1401,OSBS01840
1438,OSBS06013
1437,OSBS03520
1436,OSBS03510
1440,OSBS03509
1439,OSBS03500
1099,OSBS03725
1098,OSBS03724
1097,OSBS03722
1095,OSBS03721
1094,OSBS03720
1093,OSBS03710
1100,OSBS03709
1090,OSBS03708
1096,OSBS03703
1088,OSBS03707
1089,OSBS03706
1087,OSBS03705
1473,OSBS00865
1476,OSBS00864
1475,OSBS00866
1037,OSBS00849
1477,OSBS00848
1149,OSBS00098
1148,OSBS00095
1150,OSBS00099
1151,OSBS00094
1153,OSBS00093
1152,OSBS00100
1178,OSBS03428
1179,OSBS03415
1174,OSBS03397
1172,OSBS03396
1173,OSBS03394
1177,OSBS03387
1441,OSBS03386
1175,OSBS03389
1428,OSBS03757
1425,OSBS03755
1429,OSBS03750
1426,OSBS03754
1422,OSBS03753
1424,OSBS03752
1423,OSBS03746
1419,OSBS03744
1430,OSBS03749
1427,OSBS03748
1421,OSBS03743
1420,OSBS03742
1451,OSBS03379
1444,OSBS03378
1445,OSBS03377
1443,OSBS03427
1452,OSBS03426
1455,OSBS03425
1446,OSBS03420
1449,OSBS03417
1447,OSBS03416
1456,OSBS06088
1457,OSBS08092
1450,OSBS03384
1454,OSBS03382
1453,OSBS03380
1355,OSBS03832
1351,OSBS03831
1352,OSBS03830
1349,OSBS07986
1348,OSBS03828
1347,OSBS03827
1350,OSBS03826
1183,OSBS03330
1182,OSBS03329
1181,OSBS03327
1180,OSBS03326
1118,OSBS02069
1105,OSBS02060
1108,OSBS02056
1104,OSBS02055
1107,OSBS02059
1116,OSBS02152
1117,OSBS02151
1113,OSBS02150
1110,OSBS02149
1106,OSBS02143
1103,OSBS02141
1115,OSBS02148
1111,OSBS02147
1112,OSBS02146
1102,OSBS02140
1101,OSBS02136
1061,OSBS02970
1065,OSBS02964
1064,OSBS02963
1057,OSBS02969
1060,OSBS02968
1063,OSBS02962
1058,OSBS02961
1059,OSBS02960
1055,OSBS02959
1034,OSBS00910
1032,OSBS07977
1035,OSBS00898
1033,OSBS00881
