crown_id,species_id,species
1421,QUAL,Quercus
1421,QUAL,Quercus
1421,QUAL,Quercus
1420,QUAL,Quercus
1420,QUAL,Quercus
1420,QUAL,Quercus
1445,QURU,Quercus
1445,QURU,Quercus
1445,QURU,Quercus
1429,LITU,Liriodendron
1429,LITU,Liriodendron
1429,LITU,Liriodendron
1417,QUMO4,Quercus
1417,QUMO4,Quercus
1417,QUMO4,Quercus
1416,QURU,Quercus
1416,QURU,Quercus
1416,QURU,Quercus
1416,QURU,Quercus
1431,LITU,Liriodendron
1431,LITU,Liriodendron
1428,LITU,Liriodendron
1428,LITU,Liriodendron
1428,LITU,Liriodendron
1419,ACRU,Acer
1419,ACRU,Acer
1419,ACRU,Acer
1443,QUAL,Quercus
1443,QUAL,Quercus
1433,LITU,Liriodendron
1433,LITU,Liriodendron
1433,LITU,Liriodendron
1433,LITU,Liriodendron
1422,QUAL,Quercus
1422,QUAL,Quercus
1422,QUAL,Quercus
1422,QUAL,Quercus
1446,QURU,Quercus
1446,QURU,Quercus
1446,QURU,Quercus
1424,LITU,Liriodendron
1424,LITU,Liriodendron
1424,LITU,Liriodendron
1424,LITU,Liriodendron
1426,LITU,Liriodendron
1426,LITU,Liriodendron
1426,LITU,Liriodendron
1432,LITU,Liriodendron
1432,LITU,Liriodendron
1436,LITU,Liriodendron
1436,LITU,Liriodendron
1436,LITU,Liriodendron
1430,LITU,Liriodendron
1430,LITU,Liriodendron
1430,LITU,Liriodendron
1430,LITU,Liriodendron
1435,LITU,Liriodendron
1435,LITU,Liriodendron
1423,LITU,Liriodendron
1423,LITU,Liriodendron
1423,LITU,Liriodendron
1423,LITU,Liriodendron
1440,QUAL,Quercus
1440,QUAL,Quercus
1440,QUAL,Quercus
1440,QUAL,Quercus
1455,QUAL,Quercus
1455,QUAL,Quercus
1455,QUAL,Quercus
1453,QUAL,Quercus
1453,QUAL,Quercus
1453,QUAL,Quercus
1453,QUAL,Quercus
1457,QUAL,Quercus
1457,QUAL,Quercus
1457,QUAL,Quercus
1458,QUAL,Quercus
1458,QUAL,Quercus
1458,QUAL,Quercus
1451,QUAL,Quercus
1451,QUAL,Quercus
1451,QUAL,Quercus
1454,QUAL,Quercus
1454,QUAL,Quercus
1467,QUAL,Quercus
1467,QUAL,Quercus
1467,QUAL,Quercus
1471,QUAL,Quercus
1471,QUAL,Quercus
1471,QUAL,Quercus
1471,QUAL,Quercus
1473,QUAL,Quercus
1473,QUAL,Quercus
1473,QUAL,Quercus
1472,TSCA,Tsuga
1472,TSCA,Tsuga
1472,TSCA,Tsuga
1460,TSCA,Tsuga
1460,TSCA,Tsuga
1460,TSCA,Tsuga
1460,TSCA,Tsuga
1468,QUAL,Quercus
1468,QUAL,Quercus
1468,QUAL,Quercus
1469,TSCA,Tsuga
1469,TSCA,Tsuga
1459,QUAL,Quercus
1459,QUAL,Quercus
1459,QUAL,Quercus
1459,QUAL,Quercus
1474,QUAL,Quercus
1474,QUAL,Quercus
1474,QUAL,Quercus
1470,TSCA,Tsuga
1470,TSCA,Tsuga
1463,QUAL,Quercus
1463,QUAL,Quercus
1463,QUAL,Quercus
1479,QUAL,Quercus
1479,QUAL,Quercus
1479,QUAL,Quercus
1493,QURU,Quercus
1493,QURU,Quercus
1493,QURU,Quercus
1487,QURU,Quercus
1487,QURU,Quercus
1487,QURU,Quercus
1487,QURU,Quercus
1503,QURU,Quercus
1503,QURU,Quercus
1503,QURU,Quercus
1500,QURU,Quercus
1500,QURU,Quercus
1499,QURU,Quercus
1499,QURU,Quercus
1499,QURU,Quercus
1508,QUAL,Quercus
1508,QUAL,Quercus
1508,QUAL,Quercus
1508,QUAL,Quercus
1519,QURU,Quercus
1519,QURU,Quercus
1512,QURU,Quercus
1512,QURU,Quercus
1512,QURU,Quercus
1518,QURU,Quercus
1518,QURU,Quercus
1515,QUAL,Quercus
1515,QUAL,Quercus
1515,QUAL,Quercus
1507,QURU,Quercus
1507,QURU,Quercus
1507,QURU,Quercus
1490,QURU,Quercus
1490,QURU,Quercus
1491,QUAL,Quercus
1491,QUAL,Quercus
1491,QUAL,Quercus
1491,QUAL,Quercus
1492,QURU,Quercus
1492,QURU,Quercus
1492,QURU,Quercus
1495,QURU,Quercus
1485,QUAL,Quercus
1485,QUAL,Quercus
1485,QUAL,Quercus
1485,QUAL,Quercus
1486,QURU,Quercus
1486,QURU,Quercus
1486,QURU,Quercus
1481,QURU,Quercus
1481,QURU,Quercus
1481,QURU,Quercus
1481,QURU,Quercus
1484,ACRU,Acer
1484,ACRU,Acer
1484,ACRU,Acer
1484,ACRU,Acer
1488,QURU,Quercus
1488,QURU,Quercus
1483,QURU,Quercus
1483,QURU,Quercus
1483,QURU,Quercus
1514,QUAL,Quercus
1514,QUAL,Quercus
1514,QUAL,Quercus
1511,QURU,Quercus
1511,QURU,Quercus
1511,QURU,Quercus
1509,QUAL,Quercus
1509,QUAL,Quercus
1509,QUAL,Quercus
1509,QUAL,Quercus
1502,QURU,Quercus
1502,QURU,Quercus
1502,QURU,Quercus
1513,ACRU,Acer
1513,ACRU,Acer
1513,ACRU,Acer
1513,ACRU,Acer
1510,QURU,Quercus
1510,QURU,Quercus
1510,QURU,Quercus
1496,ACRU,Acer
1496,ACRU,Acer
1496,ACRU,Acer
1501,QURU,Quercus
1501,QURU,Quercus
1497,QURU,Quercus
1497,QURU,Quercus
1497,QURU,Quercus
1497,QURU,Quercus
1489,QURU,Quercus
1489,QURU,Quercus
1489,QURU,Quercus
1524,QUMO4,Quercus
1524,QUMO4,Quercus
1524,QUMO4,Quercus
1524,QUMO4,Quercus
1534,QURU,Quercus
1534,QURU,Quercus
1534,QURU,Quercus
1536,QURU,Quercus
1536,QURU,Quercus
1531,QUMO4,Quercus
1531,QUMO4,Quercus
1531,QUMO4,Quercus
1527,ACRU,Acer
1527,ACRU,Acer
1527,ACRU,Acer
1535,QURU,Quercus
1535,QURU,Quercus
1535,QURU,Quercus
1535,QURU,Quercus
1526,QUMO4,Quercus
1526,QUMO4,Quercus
1526,QUMO4,Quercus
1526,QUMO4,Quercus
1523,QURU,Quercus
1523,QURU,Quercus
1525,QUMO4,Quercus
1525,QUMO4,Quercus
1525,QUMO4,Quercus
1525,QUMO4,Quercus
1529,QUMO4,Quercus
1529,QUMO4,Quercus
1529,QUMO4,Quercus
1529,QUMO4,Quercus
1532,QUMO4,Quercus
1532,QUMO4,Quercus
1532,QUMO4,Quercus
1560,QUAL,Quercus
1560,QUAL,Quercus
1560,QUAL,Quercus
1561,ACRU,Acer
1561,ACRU,Acer
1561,ACRU,Acer
1561,ACRU,Acer
1549,QURU,Quercus
1549,QURU,Quercus
1537,QURU,Quercus
1537,QURU,Quercus
1537,QURU,Quercus
1537,QURU,Quercus
1540,QUAL,Quercus
1540,QUAL,Quercus
1540,QUAL,Quercus
1539,QUAL,Quercus
1539,QUAL,Quercus
1539,QUAL,Quercus
1541,QUAL,Quercus
1541,QUAL,Quercus
1542,QUAL,Quercus
1542,QUAL,Quercus
1542,QUAL,Quercus
1563,ACRU,Acer
1563,ACRU,Acer
1563,ACRU,Acer
1550,QURU,Quercus
1550,QURU,Quercus
1547,QURU,Quercus
1547,QURU,Quercus
1547,QURU,Quercus
1564,QUAL,Quercus
1564,QUAL,Quercus
1564,QUAL,Quercus
1562,QUAL,Quercus
1562,QUAL,Quercus
1562,QUAL,Quercus
1548,QURU,Quercus
1548,QURU,Quercus
1548,QURU,Quercus
1574,QURU,Quercus
1574,QURU,Quercus
1568,QUAL,Quercus
1568,QUAL,Quercus
1568,QUAL,Quercus
1577,QUAL,Quercus
1577,QUAL,Quercus
1577,QUAL,Quercus
1575,QUAL,Quercus
1575,QUAL,Quercus
1575,QUAL,Quercus
1575,QUAL,Quercus
1571,QURU,Quercus
1571,QURU,Quercus
1571,QURU,Quercus
1566,LITU,Liriodendron
1566,LITU,Liriodendron
1566,LITU,Liriodendron
1569,LITU,Liriodendron
1569,LITU,Liriodendron
1569,LITU,Liriodendron
1569,LITU,Liriodendron
1567,LITU,Liriodendron
1567,LITU,Liriodendron
1567,LITU,Liriodendron
1570,QURU,Quercus
1570,QURU,Quercus
1570,QURU,Quercus
1576,QUAL,Quercus
1576,QUAL,Quercus
1576,QUAL,Quercus
1576,QUAL,Quercus
1580,ACRU,Acer
1580,ACRU,Acer
1580,ACRU,Acer
1580,ACRU,Acer
1572,LITU,Liriodendron
1572,LITU,Liriodendron
1572,LITU,Liriodendron
1572,LITU,Liriodendron
