itcID,SpeciesID,GenusID
337,FAGR,FA
337,FAGR,FA
335,POGR4,PO
336,FAGR,FA
129,ACSAS,AC
2590,BENE4,BE
2590,BENE4,BE
2596,POTR5,PO
2596,POTR5,PO
2592,POTR5,PO
2592,POTR5,PO
2580,PIMA,PI
2584,BENE4,BE
2581,PIMA,PI
2581,PIMA,PI
2589,POTR5,PO
2594,BENE4,BE
2644,PIMA,PI
2599,POTR5,PO
2639,BENE4,BE
2639,BENE4,BE
2639,BENE4,BE
2634,PIMA,PI
2636,PIMA,PI
2617,BENE4,BE
2613,PIMA,PI
2613,PIMA,PI
2614,BENE4,BE
2612,BENE4,BE
2624,PIMA,PI
2619,BENE4,BE
2619,BENE4,BE
2638,BENE4,BE
2626,BENE4,BE
2641,BENE4,BE
2610,BENE4,BE
2633,POTR5,PO
2627,PIMA,PI
2627,PIMA,PI
2618,BENE4,BE
2618,BENE4,BE
2567,PIMA,PI
2570,PIMA,PI
2576,PIMA,PI
2566,PIMA,PI
2734,BENE4,BE
2607,BENE4,BE
2695,PIMA,PI
2741,BENE4,BE
2686,BENE4,BE
2683,BENE4,BE
2690,BENE4,BE
2742,PIMA,PI
2606,BENE4,BE
2691,BENE4,BE
2693,PIMA,PI
2693,PIMA,PI
2738,BENE4,BE
2654,POTR5,PO
2654,POTR5,PO
2667,POTR5,PO
2660,BENE4,BE
2660,BENE4,BE
2660,BENE4,BE
2651,BENE4,BE
2651,BENE4,BE
2651,BENE4,BE
2662,BENE4,BE
2649,POTR5,PO
2655,BENE4,BE
2655,BENE4,BE
2656,BENE4,BE
2664,POTR5,PO
2658,POTR5,PO
2679,PIMA,PI
2743,BENE4,BE
2722,BENE4,BE
2744,BENE4,BE
2701,BENE4,BE
2708,BENE4,BE
2708,BENE4,BE
2704,BENE4,BE
2725,BENE4,BE
2709,BENE4,BE
2696,BENE4,BE
2696,BENE4,BE
2727,BENE4,BE
2723,BENE4,BE
2723,BENE4,BE
2705,BENE4,BE
2705,BENE4,BE
2715,BENE4,BE
2707,BENE4,BE
2710,BENE4,BE
1983,QUST,QU
1984,QUST,QU
1976,QUMA3,QU
1926,ULCR,UL
1928,ULCR,UL
1928,ULCR,UL
1919,QUST,QU
1919,QUST,QU
1922,QUST,QU
1922,QUST,QU
1920,QUST,QU
1920,QUST,QU
1954,JUVI,JU
1955,QUST,QU
1961,ULCR,UL
1947,QUST,QU
1932,QUST,QU
1932,QUST,QU
1932,QUST,QU
1941,QUST,QU
1934,QUST,QU
1944,QUMA3,QU
1938,QUST,QU
1950,QUST,QU
1929,QUST,QU
1933,QUST,QU
1933,QUST,QU
1911,JUVI,JU
1967,JUVI,JU
1966,JUVI,JU
1971,QUMA3,QU
1971,QUMA3,QU
1974,QUST,QU
1968,QUST,QU
1973,QUMA3,QU
1973,QUMA3,QU
1973,QUMA3,QU
2758,POTR5,PO
2795,PIMA,PI
2800,PIMA,PI
2778,PIMA,PI
2796,PIMA,PI
2796,PIMA,PI
2791,PIMA,PI
2805,PIMA,PI
2805,PIMA,PI
2813,PIMA,PI
2815,PIMA,PI
2815,PIMA,PI
2812,PIMA,PI
2808,PIGL,PI
2809,PIGL,PI
2809,PIGL,PI
2809,PIGL,PI
2763,PIMA,PI
2746,PIMA,PI
2750,PIMA,PI
2750,PIMA,PI
2754,PIMA,PI
2754,PIMA,PI
2748,PIMA,PI
2751,PIMA,PI
718,PIEL,PI
715,PIPA2,PI
725,PIPA2,PI
730,PIPA2,PI
727,PIPA2,PI
734,PIPA2,PI
731,PIPA2,PI
746,PIPA2,PI
743,QUNI,QU
738,QUNI,QU
737,QUNI,QU
1174,ACRU,AC
1179,QUAL,QU
1175,QUAL,QU
1170,ACRU,AC
1178,QUAL,QU
1178,QUAL,QU
1178,QUAL,QU
1180,QUAL,QU
1187,TSCA,TS
1196,TSCA,TS
1188,TSCA,TS
1208,LITU,LI
1205,LIST2,LI
1202,QUAL,QU
1206,LITU,LI
1222,ACRU,AC
1219,ACRU,AC
1223,ACRU,AC
1223,ACRU,AC
1218,QUMO4,QU
1217,LITU,LI
1221,ACRU,AC
1225,ACRU,AC
1229,LITU,LI
1228,LITU,LI
1228,LITU,LI
1230,LITU,LI
1227,LITU,LI
1233,PIRU,PI
1257,PIRU,PI
1246,PIRU,PI
1246,PIRU,PI
1246,PIRU,PI
1264,PIRU,PI
1269,PIRU,PI
1293,ACRU,AC
1307,LITU,LI
1310,LITU,LI
1310,LITU,LI
1279,ACRU,AC
1273,ACRU,AC
1273,ACRU,AC
1304,LITU,LI
1305,LITU,LI
1291,ACRU,AC
1284,ACRU,AC
1295,ACRU,AC
1278,ACRU,AC
1278,ACRU,AC
1275,ACRU,AC
1275,ACRU,AC
1275,ACRU,AC
1315,QUMO4,QU
1315,QUMO4,QU
1323,QUMO4,QU
1323,QUMO4,QU
1321,ACRU,AC
1321,ACRU,AC
1318,ACRU,AC
1184,LITU,LI
1183,LITU,LI
852,BUSI,BU
852,BUSI,BU
883,PIAL3,PI
878,PIAL3,PI
878,PIAL3,PI
863,PIAL3,PI
907,PIAL3,PI
939,BOSU2,BO
941,BUBU,BU
941,BUBU,BU
915,BUBU,BU
919,PIAL3,PI
917,PIAL3,PI
922,BUBU,BU
921,BUBU,BU
930,BUBU,BU
931,BUBU,BU
931,BUBU,BU
936,BUSI,BU
936,BUSI,BU
870,BUSI,BU
853,BUSI,BU
856,BUSI,BU
858,PIAL3,PI
867,BUSI,BU
895,BUSI,BU
899,GUOB,GU
897,GUOB,GU
943,ACFA,AC
944,ACFA,AC
942,ACFA,AC
947,BUSI,BU
947,BUSI,BU
932,BUBU,BU
888,PIAL3,PI
911,PIAL3,PI
339,QURU,QU
339,QURU,QU
340,PIST,PI
340,PIST,PI
338,QURU,QU
338,QURU,QU
338,QURU,QU
338,QURU,QU
343,PIST,PI
350,PIST,PI
347,PIST,PI
347,PIST,PI
344,PIST,PI
359,PIST,PI
359,PIST,PI
378,ACRU,AC
363,BELE,BE
363,BELE,BE
362,PIST,PI
376,BELE,BE
397,QUAL,QU
386,ACRU,AC
387,QURU,QU
395,ACRU,AC
395,ACRU,AC
408,PIST,PI
408,PIST,PI
398,PIST,PI
412,PIST,PI
415,QURU,QU
418,PIST,PI
418,PIST,PI
426,QURU,QU
428,BELE,BE
458,ACRU,AC
434,BELE,BE
460,BELE,BE
460,BELE,BE
410,FRAM2,FR
423,QURU,QU
478,QURU,QU
432,ACRU,AC
432,ACRU,AC
433,BELE,BE
472,BELE,BE
476,BELE,BE
476,BELE,BE
446,ACRU,AC
444,FRAM2,FR
442,BEPO,BE
442,BEPO,BE
438,ACRU,AC
449,ACRU,AC
396,ACRU,AC
388,ACRU,AC
468,PIST,PI
468,PIST,PI
463,PIST,PI
429,PIST,PI
454,ACRU,AC
454,ACRU,AC
469,QUAL,QU
353,QURU,QU
352,QURU,QU
355,PIST,PI
355,PIST,PI
366,PIST,PI
366,PIST,PI
357,PIST,PI
2826,PIGL,PI
2828,PIGL,PI
2828,PIGL,PI
2828,PIGL,PI
2831,PIGL,PI
2850,PIGL,PI
2836,PIGL,PI
2836,PIGL,PI
2846,PIGL,PI
2845,PIGL,PI
2842,PIGL,PI
2842,PIGL,PI
2851,PIGL,PI
955,QUMU,QU
1587,CELA,CE
1583,QUPA5,QU
1588,CACA18,CA
1614,LIST2,LI
1595,FRPE,FR
1628,QUMI,QU
1628,QUMI,QU
1626,FRPE,FR
1626,FRPE,FR
1622,FRPE,FR
1601,FRPE,FR
1603,PLOC,PL
1649,QUNI,QU
1642,LIST2,LI
1664,QUMI,QU
1652,CACA18,CA
1650,LIST2,LI
1651,CACA18,CA
1640,LIST2,LI
1647,LIST2,LI
1636,CELA,CE
1636,CELA,CE
1665,QUPA5,QU
1660,LIST2,LI
1643,LIST2,LI
1678,FRPE,FR
1681,QUPA5,QU
1674,QUMI,QU
1676,QUMI,QU
1675,FRPE,FR
1675,FRPE,FR
1690,LIST2,LI
1691,LIST2,LI
1697,CELA,CE
1700,QUPA5,QU
1714,FRPE,FR
1703,CELA,CE
1695,QUPA5,QU
1695,QUPA5,QU
1695,QUPA5,QU
1712,FRPE,FR
1713,FRPE,FR
1702,QUPA5,QU
1698,QUNI,QU
1709,FRPE,FR
1729,LIST2,LI
1725,LIST2,LI
1730,LIST2,LI
1724,LIST2,LI
1727,LIST2,LI
1733,LIST2,LI
1336,QURU,QU
1338,QURU,QU
1331,QUAL,QU
1337,ACRU,AC
1347,ACRU,AC
1347,ACRU,AC
1343,QUAL,QU
1329,QUAL,QU
1348,QUAL,QU
1334,CAGL8,CA
1339,ACRU,AC
1339,ACRU,AC
1396,QURU,QU
1365,QURU,QU
1365,QURU,QU
1387,QUAL,QU
1386,QURU,QU
1386,QURU,QU
1388,QURU,QU
1374,QURU,QU
1361,QURU,QU
1353,QURU,QU
1353,QURU,QU
1352,QURU,QU
1356,QURU,QU
1355,QUAL,QU
1373,QURU,QU
1371,CAGL8,CA
1357,QURU,QU
1401,QURU,QU
1401,QURU,QU
1409,ACRU,AC
1404,QURU,QU
1411,QURU,QU
1403,QURU,QU
1406,QURU,QU
1406,QURU,QU
1439,QUAL,QU
1441,QURU,QU
1421,QUAL,QU
1420,QUAL,QU
1445,QURU,QU
1429,LITU,LI
1417,QUMO4,QU
1428,LITU,LI
1419,ACRU,AC
1419,ACRU,AC
1433,LITU,LI
1422,QUAL,QU
1422,QUAL,QU
1424,LITU,LI
1436,LITU,LI
1430,LITU,LI
1435,LITU,LI
1423,LITU,LI
1440,QUAL,QU
1440,QUAL,QU
1440,QUAL,QU
1455,QUAL,QU
1451,QUAL,QU
1451,QUAL,QU
1454,QUAL,QU
1454,QUAL,QU
1452,PITA,PI
1467,QUAL,QU
1471,QUAL,QU
1472,TSCA,TS
1472,TSCA,TS
1460,TSCA,TS
1468,QUAL,QU
1469,TSCA,TS
1469,TSCA,TS
1474,QUAL,QU
1474,QUAL,QU
1463,QUAL,QU
1479,QUAL,QU
1493,QURU,QU
1487,QURU,QU
1503,QURU,QU
1503,QURU,QU
1508,QUAL,QU
1518,QURU,QU
1515,QUAL,QU
1507,QURU,QU
1507,QURU,QU
1492,QURU,QU
1488,QURU,QU
1502,QURU,QU
1502,QURU,QU
1496,ACRU,AC
1497,QURU,QU
1489,QURU,QU
1527,ACRU,AC
1535,QURU,QU
1526,QUMO4,QU
1523,QURU,QU
1525,QUMO4,QU
1525,QUMO4,QU
1525,QUMO4,QU
1532,QUMO4,QU
1561,ACRU,AC
1558,QUCO2,QU
1557,QUCO2,QU
1549,QURU,QU
1537,QURU,QU
1540,QUAL,QU
1542,QUAL,QU
1553,QUCO2,QU
1546,QUCO2,QU
1546,QUCO2,QU
1564,QUAL,QU
1562,QUAL,QU
1559,QUCO2,QU
1568,QUAL,QU
1577,QUAL,QU
1575,QUAL,QU
1575,QUAL,QU
1571,QURU,QU
1566,LITU,LI
1569,LITU,LI
1580,ACRU,AC
1580,ACRU,AC
1572,LITU,LI
1572,LITU,LI
2049,PICO,PI
2036,PICO,PI
2029,PICO,PI
2058,PICO,PI
2065,PICO,PI
2048,PICO,PI
2025,PICO,PI
2039,PICO,PI
2026,PICO,PI
2056,PICO,PI
2034,PICO,PI
2038,PICO,PI
2038,PICO,PI
2071,PICO,PI
2046,PICO,PI
2062,PICO,PI
2062,PICO,PI
2030,PICO,PI
2085,PIFL2,PI
2127,PIFL2,PI
2136,PIEN,PI
2099,ABLAL,AB
2091,PIFL2,PI
2129,PIEN,PI
2129,PIEN,PI
2093,PIEN,PI
2090,PIFL2,PI
2123,ABLAL,AB
2123,ABLAL,AB
2124,ABLAL,AB
2089,PIFL2,PI
2089,PIFL2,PI
2133,PIEN,PI
2132,PIEN,PI
2086,ABLAL,AB
2086,ABLAL,AB
2108,PIFL2,PI
2191,PIEN,PI
2199,PIEN,PI
2205,ABLAL,AB
2110,PICO,PI
2110,PICO,PI
2193,ABLAL,AB
2187,ABLAL,AB
2196,ABLAL,AB
2189,ABLAL,AB
2118,PIFL2,PI
2118,PIFL2,PI
2192,ABLAL,AB
2200,ABLAL,AB
2190,ABLAL,AB
2213,PIFL2,PI
2216,ABLAL,AB
2203,PIEN,PI
2203,PIEN,PI
2214,ABLAL,AB
2113,PIFL2,PI
2181,ABLAL,AB
2162,PIEN,PI
2162,PIEN,PI
2244,PIEN,PI
2177,ABLAL,AB
2159,ABLAL,AB
2255,PIEN,PI
2235,PIEN,PI
2234,PIEN,PI
2234,PIEN,PI
2237,PIEN,PI
2140,PIEN,PI
2140,PIEN,PI
2140,PIEN,PI
2150,ABLAL,AB
2239,PIEN,PI
2156,ABLAL,AB
2185,ABLAL,AB
2258,PIEN,PI
2242,PIEN,PI
2165,ABLAL,AB
2148,PIEN,PI
2249,ABLAL,AB
2256,ABLAL,AB
2224,PIEN,PI
2149,PIEN,PI
2153,ABLAL,AB
2182,ABLAL,AB
2144,PIEN,PI
2172,PIEN,PI
2172,PIEN,PI
2173,PIEN,PI
2291,ABLAL,AB
2292,ABLAL,AB
2268,PIEN,PI
2268,PIEN,PI
2277,PIEN,PI
2293,PIEN,PI
2293,PIEN,PI
2269,ABLAL,AB
2269,ABLAL,AB
2286,ABLAL,AB
2276,PIEN,PI
2272,PIEN,PI
2271,PIEN,PI
2284,ABLAL,AB
2284,ABLAL,AB
2267,ABLAL,AB
2297,ABLAL,AB
2266,ABLAL,AB
2278,ABLAL,AB
2278,ABLAL,AB
2278,ABLAL,AB
2366,ABLAL,AB
2304,ABLAL,AB
2381,PIEN,PI
2328,PIEN,PI
2352,PICO,PI
2344,PIEN,PI
2308,ABLAL,AB
2327,PICO,PI
2348,PICO,PI
2351,PIEN,PI
2320,ABLAL,AB
2320,ABLAL,AB
2334,PICO,PI
2318,PIEN,PI
2332,PIEN,PI
2354,PIEN,PI
2355,ABLAL,AB
2337,PICO,PI
2329,ABLAL,AB
2326,PICO,PI
2363,ABLAL,AB
2353,ABLAL,AB
2389,ABLAL,AB
2395,ABLAL,AB
2395,ABLAL,AB
2398,ABLAL,AB
2390,ABLAL,AB
2388,PIEN,PI
2383,PIEN,PI
2367,PIEN,PI
2367,PIEN,PI
2412,PICO,PI
2424,PICO,PI
2424,PICO,PI
2423,PICO,PI
2411,PICO,PI
2477,PICO,PI
2426,PICO,PI
2434,PICO,PI
2434,PICO,PI
2479,PIEN,PI
2421,PICO,PI
2470,ABLAL,AB
2463,ABLAL,AB
2451,ABLAL,AB
2468,PIEN,PI
2458,ABLAL,AB
2449,ABLAL,AB
2449,ABLAL,AB
2452,ABLAL,AB
2439,ABLAL,AB
2464,PIEN,PI
2415,PICO,PI
2361,ABLAL,AB
2306,ABLAL,AB
2252,ABLAL,AB
2485,ABLAL,AB
2486,ABLAL,AB
759,PIPA2,PI
770,PIPA2,PI
765,PIPA2,PI
754,PIPA2,PI
774,PIEL,PI
774,PIEL,PI
776,PIEL,PI
837,QUHE2,QU
836,QUGE2,QU
836,QUGE2,QU
773,QUHE2,QU
780,PIPA2,PI
781,PIPA2,PI
782,PIPA2,PI
795,PIPA2,PI
797,PIPA2,PI
791,PIPA2,PI
787,PIPA2,PI
789,PIPA2,PI
805,PIPA2,PI
800,PIPA2,PI
808,PIPA2,PI
817,PIPA2,PI
806,PIPA2,PI
815,PIPA2,PI
815,PIPA2,PI
823,QUHE2,QU
823,QUHE2,QU
833,PIEL,PI
833,PIEL,PI
830,QUHE2,QU
820,PIPA2,PI
820,PIPA2,PI
822,QUGE2,QU
818,PIPA2,PI
497,JUNI,JU
512,QURU,QU
507,LITU,LI
504,LITU,LI
504,LITU,LI
519,LITU,LI
519,LITU,LI
522,QURU,QU
518,CAOV3,CA
523,CAOV3,CA
527,CAOV3,CA
517,LITU,LI
532,LITU,LI
487,JUNI,JU
534,ACNEN,AC
534,ACNEN,AC
533,ACNEN,AC
533,ACNEN,AC
536,ACNEN,AC
549,CEOC,CE
548,CEOC,CE
548,CEOC,CE
553,CEOC,CE
547,CACO15,CA
547,CACO15,CA
542,ACNEN,AC
543,ACNEN,AC
561,ACNEN,AC
559,ACNEN,AC
572,LIST2,LI
563,LIST2,LI
573,ACRU,AC
570,ACRU,AC
574,LIST2,LI
562,SASSA,SA
571,LIST2,LI
565,LIST2,LI
565,LIST2,LI
575,LITU,LI
590,LIST2,LI
590,LIST2,LI
594,LITU,LI
594,LITU,LI
608,LITU,LI
608,LITU,LI
583,LIST2,LI
583,LIST2,LI
583,LIST2,LI
584,NYSY,NY
585,LIST2,LI
602,LIST2,LI
606,LITU,LI
607,LITU,LI
603,LITU,LI
635,LITU,LI
597,LIST2,LI
601,LIST2,LI
599,LIST2,LI
596,LITU,LI
636,LITU,LI
598,LIST2,LI
600,ULMUS,UL
624,LIST2,LI
631,LIST2,LI
620,LIST2,LI
644,NYSY,NY
630,LITU,LI
647,SASSA,SA
654,AIAL,AI
650,LIST2,LI
656,ACRU,AC
651,AIAL,AI
638,LITU,LI
706,ACRU,AC
710,ACRU,AC
710,ACRU,AC
643,LITU,LI
709,LIST2,LI
640,LIST2,LI
692,ACRU,AC
689,LITU,LI
674,LIST2,LI
664,ULMUS,UL
673,NYSY,NY
667,LIST2,LI
698,LIST2,LI
700,ULMUS,UL
665,LIST2,LI
663,ACRU,AC
685,LITU,LI
683,LITU,LI
679,LIST2,LI
682,LIST2,LI
658,LITU,LI
678,LIST2,LI
659,LITU,LI
659,LITU,LI
659,LITU,LI
680,LITU,LI
1766,PIPA2,PI
1742,QUAL,QU
1741,PITA,PI
1747,PITA,PI
1746,QUNI,QU
1743,QUAL,QU
1752,PIPA2,PI
1772,PIPA2,PI
1756,PITA,PI
1756,PITA,PI
1779,QUAL,QU
1777,QUAL,QU
1777,QUAL,QU
1777,QUAL,QU
1774,CATO6,CA
1795,OXAR,OX
1770,QUAL,QU
1786,QUAL,QU
1786,QUAL,QU
1771,CATO6,CA
1771,CATO6,CA
1790,PIPA2,PI
1790,PIPA2,PI
1785,LITU,LI
1775,CATO6,CA
1775,CATO6,CA
1792,PIPA2,PI
1799,PIPA2,PI
1778,CATO6,CA
1778,CATO6,CA
1804,LIST2,LI
1804,LIST2,LI
1803,ACRU,AC
1836,OXAR,OX
1840,CATO6,CA
1844,PITA,PI
1838,PITA,PI
1845,PITA,PI
1835,PITA,PI
1782,QUAL,QU
1802,QUNI,QU
1805,OXAR,OX
1832,OXAR,OX
1806,PITA,PI
1806,PITA,PI
1807,PITA,PI
1850,QUAL,QU
1811,PIPA2,PI
1820,PIPA2,PI
1816,PIPA2,PI
1817,PIPA2,PI
1819,PIPA2,PI
1863,PIPA2,PI
1854,PIPA2,PI
1854,PIPA2,PI
1862,PIPA2,PI
1857,PIPA2,PI
1878,PIPA2,PI
1878,PIPA2,PI
1878,PIPA2,PI
1875,PIPA2,PI
1875,PIPA2,PI
1858,OXAR,OX
1870,QUNI,QU
1885,PITA,PI
1895,QUAL,QU
1898,CATO6,CA
1900,LIST2,LI
1900,LIST2,LI
1900,LIST2,LI
1043,JUNI,JU
1042,ULAM,UL
967,ULAM,UL
967,ULAM,UL
1163,PODE3,PO
1168,PODE3,PO
1167,ULAM,UL
1158,ULAM,UL
1169,PODE3,PO
1080,CAOV2,CA
1031,ULAM,UL
1017,CAOV2,CA
1118,MAPO,MA
1050,JUNI,JU
1050,JUNI,JU
1050,JUNI,JU
1072,JUNI,JU
1076,CECA4,CE
1048,CECA4,CE
1049,MAPO,MA
1049,MAPO,MA
1077,CECA4,CE
1125,JUVI,JU
1068,ULAM,UL
1120,JUNI,JU
1069,CEOC,CE
1135,CEOC,CE
1146,MAPO,MA
1150,JUVI,JU
1151,GLTR,GL
1128,ULAM,UL
1127,ULAM,UL
1132,CEOC,CE
1153,GLTR,GL
1153,GLTR,GL
979,ULAM,UL
982,JUNI,JU
986,GLTR,GL
1041,JUNI,JU
1039,ULAM,UL
985,ULAM,UL
981,ULAM,UL
987,ULAM,UL
1026,MAPO,MA
1137,ULAM,UL
1136,JUNI,JU
978,GYDI,GY
1088,GYDI,GY
970,GLTR,GL
1019,CEOC,CE
972,CEOC,CE
1143,ULAM,UL
968,CEOC,CE
1100,JUVI,JU
1002,JUNI,JU
997,CEOC,CE
1007,JUNI,JU
1008,CEOC,CE
991,ULAM,UL
991,ULAM,UL
1009,CECA4,CE
1009,CECA4,CE
990,ULRU,UL
1004,GLTR,GL
989,CECA4,CE
1006,CEOC,CE
1003,ULAM,UL
1064,MAPO,MA
1111,QUMA2,QU
1111,QUMA2,QU
1053,JUNI,JU
1104,CECA4,CE
1057,CEOC,CE
1107,CEOC,CE
1110,QUMA2,QU
1016,CECA4,CE
2016,PICO,PI
2000,PICO,PI
2006,PICO,PI
2014,PICO,PI
2018,PICO,PI
2002,PICO,PI
1996,PICO,PI
1989,PICO,PI
2012,PICO,PI
2008,PICO,PI
1992,PICO,PI
2010,PICO,PI
2010,PICO,PI
